username,tanggal,rating,clean_text,skor_sentimen,label,word_count
M.Danda NurIkhsan,2025-09-26 06:13:03,1,cape rugi terus keuangan kacau udah di rapi rapi tetep aja rugi terus,-17,negatif,13
Firman Hidayatullah,2025-09-26 03:41:27,5,aplikasinya sudah bagus cuma saran saya tambahin saham Indonesia juga supaya kita bisa inves di semua saham dalam aplikasi soalnya saya inves saham as di sini tapi inves saham indo di tempat lain,-29,negatif,33
Kukuh_ Iman,2025-09-26 03:10:39,5,bismillah semoga jadi titik balik,-4,negatif,5
Antony Ikhsan,2025-09-25 19:46:39,1,gajelas bgt nih apk nya masa baru mau daftar suruh masukin pin salah mulu,-14,negatif,14
Haris Hairul Affan,2025-09-25 15:54:06,5,sangat bagus dan membantu,-1,negatif,4
Ya? Li,2025-09-25 12:52:06,3,mudah bgt sih buat lokal udah bagus bgt,6,positif,8
Barok Adit,2025-09-25 06:06:02,5,baik cepat dan mudah,7,positif,4
Hahi Huheho,2025-09-25 00:08:11,5,keren mantaap proses cepat,7,positif,4
Be4Media Teamwork,2025-09-24 20:04:28,5,Cukup mudah dipahami lumayan lengkap saham dan cryptonya GUNT,3,positif,9
Ai Panjaitan,2025-09-24 18:53:03,3,kadang kadang tidak bisa dibuka,1,positif,5
Faqih Syakir,2025-09-24 14:07:13,5,Mudah dan simpel,3,positif,3
Maria Aaa,2025-09-24 12:45:38,5,sangat baik membantu,-2,negatif,3
Muhammad Junaidi,2025-09-24 05:43:08,5,sangat membantu dalam hal investasi,-1,negatif,5
Edi Susanto Purnomo,2025-09-24 04:42:09,5,proses nya cepat dan mudah,6,positif,5
Michael Sneyder,2025-09-24 02:59:24,2,knapa yahh pajak nya mahal,-2,negatif,5
Bagus Abdillah Winata,2025-09-24 01:36:12,5,aplikasi bisa invest dan trading berbagai macam saham in one klo d tambah saham lokal jd in one lbih mantap sih harga jg akurat semoga kedepan ny bisa invest dan trading d saham lokal Indonesia transaksi jg cepat g pke lama semoga kecepatan layanan transaksi aplikasi ny trs di pertahankan,19,positif,50
Angga,2025-09-24 00:42:13,5,pluang apk terpercaya dari pada apk indodax scam,-6,negatif,8
Ali Akbar,2025-09-23 18:24:04,2,semuanya udah bagus dan stabil tapi ada satu keluhan setiap mau masuk pasti selalu lama loading nya tolong di benerin dong min saya kasih bintang rendah biar dibaca kalo udh di benerin saya jadiin bintang,-28,negatif,35
Gulam Kurnia,2025-09-23 13:22:28,5,mudah untuk dipahami,4,positif,3
Prihar Tanto,2025-09-23 12:18:05,5,aku percaya pluang aplikasi investasi yg mencarikan sulusi bagi orang yg kurang mampu seperti saya dan saya percaya pada pluang semoga suatu saat nanti pluang ngasih bonus pada saya,-34,negatif,29
Adi La,2025-09-23 03:24:31,5,bagus belajar investasi,6,positif,3
Zeekay ID,2025-09-22 15:21:14,4,masih tidak bisa topup melalui QRIS topup e wallet selain Go Pay sediakan Dana shopeepay dll gitu,-2,negatif,17
Kajis 0000,2025-09-22 14:55:43,5,apk yang bagus,-2,negatif,3
Gita Saru,2025-09-22 14:21:04,4,saya mau coba invest emas melalui aplikasi peluang tapi saat mau top up dana tidak ada jadi saya batal,-18,negatif,19
Anak Sekolah,2025-09-22 14:06:39,5,sangat Cocok bagi yang mau main Trad,-12,negatif,7
Muhamad Nurfadilah,2025-09-22 13:22:23,4,ni pluang napa ko tuop nya ke permata mulu orang mau ke bca,-1,negatif,13
Alpin Ansyah,2025-09-22 10:41:28,5,tolong di perbanyak aplikasi e wallet,-6,negatif,6
TaufiqKan,2025-09-22 08:39:48,5,pluang bertanggung jawab atas komplain semoga tetap bertanggungjawab dan semoga sll memberikan yg terbaik untuk penggunanya,-1,negatif,16
EinZX,2025-09-22 06:41:41,5,sumpah min lu pada jangan pada bubar yak udah enak w make ni app aset udah lumayan pls aja jangan ampe bubar,-19,negatif,22
Teh Gelas25,2025-09-22 06:13:59,5,sangat bagus dan terpercaya,6,positif,4
Adi Muhammad Sahril,2025-09-22 04:34:55,5,overall bagus tolong tambahin coin nya yak,1,positif,7
Feriyanto Pou,2025-09-22 02:20:54,5,mengapa tidak mencoba sedangkan mencoba tidak mengapa,-10,negatif,7
Mukhlis Saparudin,2025-09-22 00:41:14,1,saldo future nggak bisa di pindah ke akun spot padahal sinyal bagus sama terbatas,5,positif,14
Edi Wibowo Tamtomo,2025-09-21 15:51:16,5,Pendaftaran yang mudah,-3,negatif,3
Yolanda Aprilia,2025-09-21 14:50:15,5,sangat bagus dan mudah untuk digunakan,5,positif,6
Syah Putra Haq Akbar,2025-09-21 13:46:26,3,maaf kak apakah VA bank permata pulang sedang bermasalah kah krna saya sebelum aman aman aja dan tgl sep saya top via VA permata plung selalu ada warning dari mbanking saya kalo ada kendala apakah dari bank permata nya sedang bermasalah atau VA pluang nya ya kak mohon info nya terima kasih,-13,negatif,52
Samuel Mamuko,2025-09-21 12:58:51,4,aplikasi yg bgus untuk investasi,-4,negatif,5
Alexander The great,2025-09-21 11:57:31,1,saya izin berhenti dan cukup di sini saja pajak nya naik terus percuma menurut ku investasi di sini pajak nya mencekik pasti ulah aparat aparat pajak pajak semua di pajakin bisa sampe pajak nya busett fir aun lu wkkwkw,-37,negatif,39
Varrel dwika prily,2025-09-21 08:32:14,1,wd nya lama,-4,negatif,3
Teguh Dirin,2025-09-21 05:19:00,5,Pendaftaran online simpel dan elegan,2,positif,5
DONIE REX,2025-09-21 04:50:01,4,kasih bintang dulu karena setiap ada info Coin baru liris contohnya Aster di global Exchange ini telat,-15,negatif,17
Ade Karcita,2025-09-21 04:41:40,3,enak di pakai sih cuma banyak token yang gak ada,-18,negatif,10
Muhamad Taufiqur Rochman,2025-09-20 21:44:52,5,bagus lengkap nyaman,4,positif,3
Farid Al Amin,2025-09-20 18:09:55,3,kembalikan orderbook altcoin seperti dulu dong chart trading view nya gak bisa lansdscape chart display masih terlalu sesederhana limit order tidak menjangkau semua koin,-12,negatif,24
Wayan Agus Suardiana,2025-09-20 17:11:22,1,tidak bisa menyimpan ke wallet kaspa,-5,negatif,6
arif nur cahyono,2025-09-20 11:27:51,5,aster juga segera list min wkwk,-3,negatif,6
Hasan ina,2025-09-20 11:27:11,5,mantap semoga bermanfaat,8,positif,3
hendra firman,2025-09-20 06:30:53,5,keren ga berat ga kaya yg ono WD aja susah bgt,-3,negatif,11
Acos Saputra,2025-09-20 00:33:11,5,bagus banget untuk pemula,4,positif,4
Rinaldo Inald,2025-09-20 00:29:33,5,sangat bagus dan Ber Pluang untuk memulai pendapatan di dunia digital,-2,negatif,11
Renaldo Deviero,2025-09-19 15:10:08,5,mudah di daftar,-1,negatif,3
Iron Man,2025-09-19 14:38:34,1,Kecewanya adalah delay dalam eksekusi stop sell dan harganya kadang kurang real time Dan tampilan untuk posisi saham koin top gainer tidak banyak Cuma sampai aja Tidak bisa tampil lengkap dari tinggi ke rendah Dan terkadang berat bgt padahal sudah pakai wifi Semoga bisa segera di perbaiki dan upgrade lebih baik,-24,negatif,51
Niel Gtg,2025-09-19 14:30:30,4,mohon bantuannya saya lupa pin pada saat awal log in saya sudah menghubungi pihak customer service tapi tidak membantu sama sekali,-27,negatif,21
T E R N A K TV (Kang dabuy),2025-09-19 14:27:24,5,aplikasi yang sangat bagus dan mudah di gunakan signal analisanya juga akurat saran dari saya dan teman teman saya tolong untuk feature share PNL itu langsung berbentuk persentase atau jumlah pnl jangan cuma share link karena akan lebih menarik pengguna baru lewat persentase langsung contoh selamat pnl anda,-26,negatif,48
Ashley Coat,2025-09-19 13:54:53,1,Parah awalnya UI normal makin kesini sering error terutama pas login loading sangat lama saya buka berulang kali makin parah sampai belasan kali baru terbuka saya test dibeberapa device lain juga hasilnya sama bagaimana saya sebagai pengguna mempercayakan aset saya didalam exchange pluang kalau hal dasar seperti ini saja bermasalah tolong segera diperbaiki bug ini sudah terjadi berbulan,-41,negatif,58
Ahmad Syahid,2025-09-19 12:19:33,5,semoga menjadi apk yg membawa saya menjadi investor,-3,negatif,8
Ikhwan Alparisi,2025-09-19 12:05:21,5,Saya sudah top up melalui bank seabank dan dikirimkan ke VA Bank Permata lebih dari x jam uang nya baru masuk ke aplikasi pluang sudah buat laporan melalui email akhirnya masuk juga Terima Kasih,-11,negatif,34
evie agustin,2025-09-19 05:30:31,5,kemarin saya top up sudah lapor sdh kode unik bukti terlampir kok saldo brlum masuk ya min tolong segera di up to date ya min,-4,negatif,25
Trisetiawan Hady,2025-09-19 04:27:50,1,pluang tolong buatkan opsi penarikan saldo melalui bank digital masa isi saldo bisa pake gopay tapi nariknya harus pake rekening bank,-5,negatif,21
dimas suryadi,2025-09-18 16:46:05,4,Tambahkan lebih banyak etf,-2,negatif,4
M A,2025-09-18 14:32:04,5,semuanya bagus UI nya juga paling bagus dan paling enak di lihat SARAN SAYA UNTUK TEAM PLUANG Tambahkan top up dengan QRIS untuk grafik khususnya untuk aset kripto tolong di tambahkan beberapa fitur seperti BOL EMA MA dan yang paling penting kalau bisa di tambahkan fitur VOLUME JUAL DAN BELI agar para trader di aset kripto bisa melihat VOLUME JUAL Yg kuat atau VOLUME beli yang kuat Mohon team pluang menambah aset kripto yang bisa di staking,-21,negatif,77
aris sunanto,2025-09-18 14:19:18,5,proses upload data cepat terimakasih,6,positif,5
sulthan zakyy,2025-09-18 14:02:16,5,Hai admin pluang ini saya yang meminta coins hype saya sangat berterimakasih kepada pihak apk pluang karna sudah menghadirkan koin hype yang saya minta tetapi saya tidak merasa puas karena koins hype gada fitur pro nya padahal itu buat trading enak banget saya mengikuti koin hype sudah dari awal jt dan sekarang sentuk jt an dan kenapa koin sebagus itu ga ada fitur pro nya semoga kedepannya dan secepatnya aplikasi pluang ada fitur pro nya biar lengkap sekian terimakasih,-61,negatif,79
Relaxation of Leaves and dew,2025-09-18 13:35:43,5,cocok banget buat yang mau investasi saham asing,-2,negatif,8
Muhammad furiansyah,2025-09-18 11:49:15,5,please buatin di YouTube praktek cara pakai fulture,-3,negatif,8
Toyy Zee,2025-09-18 11:15:11,5,bagus banget aplikasi mudah lagi metode pembayarannya,-6,negatif,7
Sendalcepit Sewaloww,2025-09-18 08:57:47,5,lumayan simpel sii cuma kurang tau ketika beli btc atau jual btc ko ngada pilihan market order atau limit ordernya,-1,negatif,20
Bang berto Nuban,2025-09-18 08:32:28,5,tambahkan trending kripto yg mudah pakai tp dan sl,2,positif,9
Adin Muhyi,2025-09-18 08:28:59,3,Apl lg error gabisa tp klau hrga sampai trn apa ada konpensasi,-17,negatif,12
Masron Lumbantoruan,2025-09-18 07:31:06,5,proses registrasi cepat,4,positif,3
farhan,2025-09-18 05:00:18,5,bagusss verifikasi nya cepat terbaiklah,3,positif,5
Hidayah Sabila,2025-09-18 04:29:14,5,simpel dan mudah di mengerti,3,positif,5
zen,2025-09-18 03:47:51,5,aplikasi sangat bagus sangat lengkap dari saham sampai crypto rekomended sekali buat pemula,-11,negatif,13
Tommy Kuncara,2025-09-18 01:51:25,5,bagus tapi harganya kurang bagus,4,positif,5
Siragami,2025-09-17 16:49:43,4,kenapa tidak bisa pakai dana min,-1,negatif,6
iqbal mu'minin,2025-09-17 14:01:19,5,Alhamdulillah dana yang kepending udah di balikin thx Pluang,-1,negatif,9
Zich 54,2025-09-17 13:56:26,5,setelah menunggu berbulan bulan ada juga paxg di pluang sebelumnya saya beli di aplikasi sebelah dan akhirnya pindah lagi kesini karena aplikasi ini termasuk cukup keren menurut saya,-31,negatif,28
Warung Kopi,2025-09-17 11:36:23,5,simple dan nyaman,7,positif,3
Black Slot,2025-09-17 11:26:19,4,minta tolong top up bisa lewat E wallet selain gopay contoh dana atau ovvo,-3,negatif,14
Boy Gantengnya,2025-09-17 11:04:35,3,sekarang kirim crypto ke luar cek susah minta ampun tolong di permudah jangan di persulit dulu mudah sekarang sulit,-16,negatif,19
Zeppy,2025-09-17 07:51:12,5,spread jual beli goldnya besar juga yah,-4,negatif,7
Doclo,2025-09-17 06:19:08,5,aplikasi yang sangat baguse penjualan dan pembelian sangat cepat,-6,negatif,9
Aan Saputra,2025-09-16 18:40:57,1,tolong lah jangan di persulit saat mengubah nomor telepon masa mau ubah telepon aja gak bisa selalu tidak valid chat email pun gak ada balasan hubungi C S pun gak bisa tolong ini keamanan nya gimana,-15,negatif,36
Wahyudi Mamo,2025-09-16 16:37:21,1,terlalu mahal potongan biaya,-4,negatif,4
Redha Zainal Saputra,2025-09-16 13:23:57,5,aplikasi paling terpercaya,-1,negatif,3
Sukiman Yamin,2025-09-16 12:19:40,5,mantap aplikasi nya,-1,negatif,3
Erna Waty,2025-09-16 11:27:29,4,saya beri bintang dulu krna saya baru pemula dan akan saya tambah bintang nya kalau saya sudah bisa dan ini amanah,-9,negatif,21
Albab MC,2025-09-16 07:53:11,4,aplikasinya sudah bagus hanya kurang lengkap koinnya seperti koin crypto WLFI jadi mohon ditambah segera ya D,-11,negatif,17
Ali Marzuki,2025-09-16 07:44:03,4,saya kecewa jika mentransfer ke aplikasi nya kena potong di dalam aplikasi nya seharusnya jika penarikan uang baru kena potong,-21,negatif,20
Alamsyah Putra,2025-09-15 18:07:24,4,excited making money,-1,negatif,3
Michael Sinaga,2025-09-15 17:20:36,1,admin nya tidak sigap menangani tentang top up yang bermasalah saya sampai kena tipu dari telegram,-28,negatif,16
Fadli syaputra,2025-09-15 16:56:09,5,sangat bagus alikasi nabung,3,positif,4
Vivi Cullent24,2025-09-15 13:57:33,5,Aset favoritku adalah Bitcoin BTC yang bakal to the moon sampai kapanpun menyala bitcoin,-11,negatif,14
Endi Suhendi,2025-09-15 13:46:18,5,cara daftar yg mudah,-1,negatif,4
Amien Hasan,2025-09-15 12:29:37,5,menurut gw coin favorite Solana sih dan bonk tapi bonk sekarang minus,5,positif,12
Alan T,2025-09-15 10:56:02,5,tampilan mudah di pahami,3,positif,4
Rudy Anto,2025-09-15 09:42:23,5,gimana y cara kita tahu saham coint yang kita jual itu rugi untung nya brp saya cari tidak ketemu,-26,negatif,19
Khusus Khusus,2025-09-15 08:17:50,5,respon cs nya cepat dan bahkan sangat perduli terhadap pengguna nya untuk pemula juga bagus nih aplikasi simpel modal an udah bisa beli aset kripto bahkan saham Amerika Serikat juga ada di platform ini fee nya juga termasuk murah,-2,negatif,39
Okzz,2025-09-15 08:09:27,5,saya kasih bintang tapi ajarin saya main saya pengin punya duit biar orang tua saya gak usah kerja keras lagi,-25,negatif,20
IMAN,2025-09-14 21:09:07,1,Menabung Emas di Aplikasi ini tidak bagus Saldo Emas habis di palak,-5,negatif,12
SRAPAT ID,2025-09-14 17:51:35,1,sumpah ngeri biaya admin usd buat transfer usdt padahal cuma usd masuk cuma usd parah nih biaya admin atau biaya buat makan seminggu,-20,negatif,23
Santoso Budi,2025-09-14 11:23:55,5,bs dipercaya jual beli atau tarik ke rekening bs minimum semua lancar,-5,negatif,12
Johanes Hand,2025-09-14 06:16:28,5,Mudah dan membantu,-4,negatif,3
Muhammad H. Rizky,2025-09-13 12:53:26,5,good investing apps,2,positif,3
Puji Kasino,2025-09-13 05:22:21,5,cukup baik dan jelas,1,positif,4
Ricki,2025-09-13 03:19:33,5,kasih saran dan kritik lasung di bales,-12,negatif,7
Dellfyanno Dell,2025-09-13 03:02:48,5,sangat di percaya,2,positif,3
Muji Yono,2025-09-13 01:39:47,5,Menurutku Pluang enak banget dipakai kalau tujuannya buat nabung atau investasi santai Modal kecil aja udah bisa mulai jadi nggak harus nunggu punya duit banyak dulu Aplikasinya juga simpel nggak ribet jadi cocok banget buat orang yang baru belajar investasi Cuma ya kalau buat yang suka trading harian atau cari koin kripto banyak rasanya kurang lengkap DANN,-28,negatif,57
Roni Setyawan,2025-09-12 19:38:19,1,Tampilan TradingView Chartnya diperbaiki dong Menurutku tampilan TradingView Chart yg sekarang sangat tidak berguna Seharusnya halaman depan dari TradingView Chart itu menampilkan Chart Candlestik yg sedang berjalan sehingga kita bisa melihat pergerakan Chartnya setiap detik Masa untuk melihat Chart berupa CandleStik yg sedang bergerak kita harus buka perbesar dulu Menurut saya gunanya Chart dengan timefrime M yg bergerak setiap saat supaya kita bisa memutuskan klik Jual Sel saat itu juga,-14,negatif,70
Evan jakis saputra,2025-09-12 15:26:07,1,ayolah masa udah autentikasi dua faktor FA masa besoknya udah nggak ada sih ini aplikasi gua dah lama ke buka kukira udah aman karna ya ada FA nya karena saya lupa sandinya ketika gua Buka apk nya walah malah kagak ada autentikasi nya terus juga gua udah hubungi lewat email untuk masalah itu ya kagak dijawab tapi untuk selebihnya bagus sih market nya banyak juga dan juga ada saham AS nya fee nya juga ya tergolong Mayan lah untuk kedepannya diperbaiki lagi soalnya uang saya ada disana,-69,negatif,87
M RHESA AL ISLAMI YUSUF,2025-09-12 14:52:49,5,App nya udah mantap semua cuma yang kurang dari saya fitur earn flexing staking,-16,negatif,14
Muhammad Ridwan,2025-09-12 14:12:56,5,bagus simpel mudah,8,positif,3
FA RIS IO,2025-09-12 07:03:28,1,saya sangat kecewa dengan update terbaru pluang saat ini saya tidak bisa menganalisa pasar,-10,negatif,14
Alamin Mundzirin,2025-09-12 04:33:43,5,aplikasi yang mudah di mengerti buat pemula seperti saya bagus cocok banget nih buat invest fitur fitur nya juga lengkap RAFA,-8,negatif,21
Rizki Ramdani,2025-09-12 03:14:49,5,sangat bagus untuk berinvestasi,3,positif,4
Mbah Kalong,2025-09-11 21:28:18,1,Tolong tampilannya dikembalikan seperti versi atau sebelumnya Diupdate malah tampilannya jadi ga nyaman saya sudah nyaman ditampilan sebelumnya Mau download apk versi di google chrome tapi takut nanti malah kehack ga aman Saya kasih bintang kalau tampilannya bisa kembali seperti semula saya rubah bintangnya jadi,-11,negatif,45
Aril Widiantoro,2025-09-11 19:45:20,4,kurang lengkap sih tidak semua koin bisa di mode pro hanya koin tertentu saja jadi tidak bisa menggunakan fitur buy limit dan sell limit,-26,negatif,24
Agung Zx25R,2025-09-11 19:14:07,3,tambahin koin nya min masa koin jaman purba Mulu yang ada ga ada yang baru,-21,negatif,15
azrullah Baihaki,2025-09-11 17:30:23,2,maaf mau nanya soal dana saya sebesar k itu saya depo ke saldo usd keuntungan bunga tersebut sudah di cantumkan senilat dalam jumlah itungan usd adalah nah klo dapet di bulan berikut nya adalah aturan kan usd ini malahan cuman itu itungan nya gimana ya saya bingung coba di jelaskan emang setiap apk punya kekurangan dan kelebihan tapi biar jelas aja biar kita engga kapok buat berinvestasi di apk tersebut dan satu lagi biaya admin dari bank ke apk harusyangrealtim,-29,negatif,80
Alex Witarinangsah,2025-09-11 11:35:45,5,mudah tanpa ribet daftarnya,-2,negatif,4
Ari Syahrudin,2025-09-11 10:03:40,1,kenapa saya tidak bisa masuk ya ada tulisan ada masalah,-17,negatif,10
Said Kurniawan,2025-09-10 14:04:29,4,apknya bagus banget sangat membantu untuk treder pemula terutama,4,positif,9
Fatih Muhammad,2025-09-10 10:51:54,5,sangat fleksibel untuk melakukan inves saran tolong ditambahkan fitur stop loss karena pluang belum ada fitur stop loss terimakasih,-12,negatif,19
Hananda Surya,2025-09-10 05:02:30,5,pelayanan sangat bagus gercep tim cs nya kalau ada kendala benar benar dipastikan masalahnya selesai Thanks banget pokoknya Pertahankan,-18,negatif,19
Titin Toyibah,2025-09-10 04:31:55,5,mempermudah untuk investasi,-3,negatif,3
andika oktora,2025-09-10 03:22:39,5,kurang update kalo ada yg baru di market klo sudah naik di harga mahal baru masuk,-5,negatif,16
Scwhensteger gaming,2025-09-10 02:22:12,5,sangat membantu bagi pemula yg baru belajar,-5,negatif,7
Ahmad Muhtadi,2025-09-09 15:04:55,5,hanya saja masih terkendala to up di bawah RB harus melalui virtual acunt dgn layanan bank permata selalu gagal,-6,negatif,19
Wandy 01,2025-09-09 07:53:16,5,update yang luar biasa di lakukan oleh peluang Skrang bisa melihat total marketcap yang ada,-14,negatif,15
Reni Ariyani,2025-09-09 06:45:48,5,belajar investasi kedepan lebih maju dan berkembang,4,positif,7
Rizal Alyakin,2025-09-09 03:50:09,5,semoga lancar awal belajar,-1,negatif,4
Athar Salim,2025-09-09 01:16:15,5,Aplikasi ini sudah sangat baik dan lengkap untuk kebutuhan pengguna Namun akan lebih bermanfaat jika tersedia widget khusus untuk memantau harga crypto favorit secara real time Dengan adanya widget pengguna tidak perlu terus menerus membuka aplikasi Fitur ini membuat pengalaman lebih praktis efisien dan modern sekaligus meningkatkan engagement karena pengguna akan lebih sering terhubung meski sedang menggunakan fitur lain di perangkat,22,positif,61
Cain Carl,2025-09-08 21:20:26,4,semakin update kenapa jadi nge lag bgt si tolong untuk koin yang belum bisa mode pro segera di adakan mode pro saya beli coin yang tidak ada mode pro nya spread nya besar bgt katanya di jamin detik gimana sih jadi rugi kalo gini tolong hadirkan kembali grafik jam tolong lah perbaiki lagi agak berat sekarang aplikasinya,-53,negatif,57
Dhanniels Astra,2025-09-08 18:54:48,2,Ada give away tapi hanya untuk pengguna Iphone dan pengguna Android di anak tirikan,-4,negatif,14
J Pri,2025-09-08 14:44:21,5,semoga setelah update apk pluang bisa menjadi lebih baik dan lancar,1,positif,11
Imam Fa,2025-09-08 14:12:02,5,banyak saham yang bisa kita pilih,-10,negatif,6
YOGI SISWANDI,2025-09-08 13:29:31,5,Aplikasinya bagus mudah di mengerti perfect,3,positif,6
bang_ke Jr,2025-09-08 13:23:40,2,order etf prosesnya kelamaan belum sukses,-1,negatif,6
Febril Pujangga,2025-09-08 10:57:28,2,Fee nya makin mahal dapet untung segini kepotong segini beuh GK ngotak,2,positif,12
Ralph Thomas,2025-09-08 10:54:45,5,mudah dalan payment nya,2,positif,4
Pawit Salam,2025-09-08 10:52:22,5,Sangat cocok untuk pemula,2,positif,4
Shevlay Darkhero,2025-09-08 10:47:06,5,terimakasih sudah diperbaiki candle stiknya,3,positif,5
Muhammad SBR R,2025-09-08 06:09:22,5,terimakasih telah mengembalikan tampilan harga jual dan harga beli di setiap aset yang ingin dibeli itu sangat penting karena kami bisa menghitung selisih sebelum membeli,-11,negatif,25
Rizal,2025-09-08 00:19:26,1,kenapa aplikasi saya tidak bisa di buka sudah dua hari,-20,negatif,10
Muhammad Muliadi,2025-09-07 23:45:30,1,kenapa tiba tiba tidak bisa login,-5,negatif,6
Hendrix Van Broer,2025-09-07 12:22:55,2,Bisa tidak mencarikan rekanan bisnis dari Bank yg lain selain Bank Permata Yang kinerja jaringan nya bagus dan lancar,-12,negatif,19
Arif Dwianto,2025-09-07 12:17:05,5,tambahkan top up melalui aplikasi dana karena banyak orang yang sudah nyaman dengan wallet dana,1,positif,15
Vicky fi,2025-09-07 06:39:56,5,saran tambahin metode pembayaran e wallet lain,-12,negatif,7
ISTI_ 0610,2025-09-07 06:22:11,2,q lupa pin biasanya log in pake fingerprint tpi in tba disuruu log in pake pin sma aplikasinya trus pas mau riset ulang pin kode otp dikirim ke sms sama email yg ke email g ada bingung g bisa buka aplikasinya udah email ke admin g dibls,-7,negatif,47
Asep Kurus,2025-09-07 05:34:59,5,aplikasi crypto terbaik,1,positif,3
Achmad Suryansyah,2025-09-07 03:36:21,5,Saat ini masih berjalan dengan baik hanya saran untuk Crypto jenis Volatil kalau bisa di buat kunci marking sell agar sama seperti Crypto yang lain nya,-11,negatif,26
Nanang Nanang,2025-09-06 23:59:55,4,ini gimana ya dari kemarin saham as ga ada pergerakan mohon bantuannya,-4,negatif,12
Sak Dermo Ngelakoni,2025-09-06 18:24:11,5,menurut ku kalau teliti dan sabar mudahan berhasil,12,positif,8
Didi Sukardi,2025-09-06 15:38:38,5,pluang investasi baik,2,positif,3
hasan basari,2025-09-06 14:27:24,5,mudah n system y g berubah berubah setelah d update,2,positif,10
Tyas S.W,2025-09-06 13:43:53,5,kenapa pluang disuruh login mulu,-3,negatif,5
Fikri Yasin,2025-09-06 13:30:08,5,Kenapa logout terus setiap menit sekali aku gk nyaman neh buat trading,3,positif,12
Indra Dapa,2025-09-06 13:20:29,3,update terbaru malah ngebug gabisa buka analisis chart pakai indikator selalu coba lagi login ulang parah tau gitu ngak saya update tadi,-13,negatif,22
Madura Pride,2025-09-06 13:18:06,5,bagus aman dan nyaman tolong hilangkan bug coba login kembali,4,positif,10
Hari Boydo,2025-09-06 03:59:04,5,min enakan tampilan ya versi candle nya lebih mudah utk menganalisa pleaseeee balikin candle model kaya gitu min Agus Terimakasih min sdh gercep utk mengembalikan candle nya utk membantu analisa,5,positif,30
