clean_text,label
semuanya udah bagus dan stabil tapi ada satu keluhan setiap mau masuk pasti selalu lama loading nya tolong di benerin dong min saya kasih bintang rendah biar dibaca kalo udh di benerin saya jadiin bintang,negatif
Rekomen,negatif
ok,positif
mudah untuk dipahami,positif
aku percaya pluang aplikasi investasi yg mencarikan sulusi bagi orang yg kurang mampu seperti saya dan saya percaya pada pluang semoga suatu saat nanti pluang ngasih bonus pada saya,negatif
nice,positif
bagus belajar investasi,positif
masih tidak bisa topup melalui QRIS topup e wallet selain Go Pay sediakan Dana shopeepay dll gitu,negatif
apk yang bagus,negatif
saya mau coba invest emas melalui aplikasi peluang tapi saat mau top up dana tidak ada jadi saya batal,negatif
sangat Cocok bagi yang mau main Trad,negatif
good exchange,positif
ni pluang napa ko tuop nya ke permata mulu orang mau ke bca,negatif
tolong di perbanyak aplikasi e wallet,negatif
pluang bertanggung jawab atas komplain semoga tetap bertanggungjawab dan semoga sll memberikan yg terbaik untuk penggunanya,negatif
sumpah min lu pada jangan pada bubar yak udah enak w make ni app aset udah lumayan pls aja jangan ampe bubar,negatif
sangat bagus dan terpercaya,positif
overall bagus tolong tambahin coin nya yak,positif
mengapa tidak mencoba sedangkan mencoba tidak mengapa,negatif
baguss,negatif
saldo future nggak bisa di pindah ke akun spot padahal sinyal bagus sama terbatas,positif
baru pemula,negatif
Pendaftaran yang mudah,negatif
sangat bagus dan mudah untuk digunakan,positif
min luncurkan coin aster,negatif
maaf kak apakah VA bank permata pulang sedang bermasalah kah krna saya sebelum aman aman aja dan tgl sep saya top via VA permata plung selalu ada warning dari mbanking saya kalo ada kendala apakah dari bank permata nya sedang bermasalah atau VA pluang nya ya kak mohon info nya terima kasih,negatif
NoT Bad For aLL,negatif
aplikasi yg bgus untuk investasi,negatif
saya izin berhenti dan cukup di sini saja pajak nya naik terus percuma menurut ku investasi di sini pajak nya mencekik pasti ulah aparat aparat pajak pajak semua di pajakin bisa sampe pajak nya busett fir aun lu wkkwkw,negatif
enak enek,negatif
wd nya lama,negatif
Pendaftaran online simpel dan elegan,positif
kasih bintang dulu karena setiap ada info Coin baru liris contohnya Aster di global Exchange ini telat,negatif
enak di pakai sih cuma banyak token yang gak ada,negatif
bagus lengkap nyaman,positif
kembalikan orderbook altcoin seperti dulu dong chart trading view nya gak bisa lansdscape chart display masih terlalu sesederhana limit order tidak menjangkau semua koin,negatif
tidak bisa menyimpan ke wallet kaspa,negatif
sangat baik,positif
keren,positif
aster juga segera list min wkwk,negatif
mantap semoga bermanfaat,positif
pelajari trending dulu,negatif
keren ga berat ga kaya yg ono WD aja susah bgt,negatif
bagus banget untuk pemula,positif
sangat bagus dan Ber Pluang untuk memulai pendapatan di dunia digital,negatif
mudah di daftar,negatif
Kecewanya adalah delay dalam eksekusi stop sell dan harganya kadang kurang real time Dan tampilan untuk posisi saham koin top gainer tidak banyak Cuma sampai aja Tidak bisa tampil lengkap dari tinggi ke rendah Dan terkadang berat bgt padahal sudah pakai wifi Semoga bisa segera di perbaiki dan upgrade lebih baik,negatif
mohon bantuannya saya lupa pin pada saat awal log in saya sudah menghubungi pihak customer service tapi tidak membantu sama sekali,negatif
aplikasi yang sangat bagus dan mudah di gunakan signal analisanya juga akurat saran dari saya dan teman teman saya tolong untuk feature share PNL itu langsung berbentuk persentase atau jumlah pnl jangan cuma share link karena akan lebih menarik pengguna baru lewat persentase langsung contoh selamat pnl anda,negatif
Good Aplikasi Investasi,negatif
good invest,positif
Parah awalnya UI normal makin kesini sering error terutama pas login loading sangat lama saya buka berulang kali makin parah sampai belasan kali baru terbuka saya test dibeberapa device lain juga hasilnya sama bagaimana saya sebagai pengguna mempercayakan aset saya didalam exchange pluang kalau hal dasar seperti ini saja bermasalah tolong segera diperbaiki bug ini sudah terjadi berbulan,negatif
semoga menjadi apk yg membawa saya menjadi investor,negatif
Saya sudah top up melalui bank seabank dan dikirimkan ke VA Bank Permata lebih dari x jam uang nya baru masuk ke aplikasi pluang sudah buat laporan melalui email akhirnya masuk juga Terima Kasih,negatif
sejak update malah gak bisa login,negatif
kemarin saya top up sudah lapor sdh kode unik bukti terlampir kok saldo brlum masuk ya min tolong segera di up to date ya min,negatif
pluang tolong buatkan opsi penarikan saldo melalui bank digital masa isi saldo bisa pake gopay tapi nariknya harus pake rekening bank,negatif
Tambahkan lebih banyak etf,negatif
semuanya bagus UI nya juga paling bagus dan paling enak di lihat SARAN SAYA UNTUK TEAM PLUANG Tambahkan top up dengan QRIS untuk grafik khususnya untuk aset kripto tolong di tambahkan beberapa fitur seperti BOL EMA MA dan yang paling penting kalau bisa di tambahkan fitur VOLUME JUAL DAN BELI agar para trader di aset kripto bisa melihat VOLUME JUAL Yg kuat atau VOLUME beli yang kuat Mohon team pluang menambah aset kripto yang bisa di staking,negatif
proses upload data cepat terimakasih,positif
Hai admin pluang ini saya yang meminta coins hype saya sangat berterimakasih kepada pihak apk pluang karna sudah menghadirkan koin hype yang saya minta tetapi saya tidak merasa puas karena koins hype gada fitur pro nya padahal itu buat trading enak banget saya mengikuti koin hype sudah dari awal jt dan sekarang sentuk jt an dan kenapa koin sebagus itu ga ada fitur pro nya semoga kedepannya dan secepatnya aplikasi pluang ada fitur pro nya biar lengkap sekian terimakasih,negatif
cocok banget buat yang mau investasi saham asing,negatif
please buatin di YouTube praktek cara pakai fulture,negatif
bagus banget aplikasi mudah lagi metode pembayarannya,negatif
lumayan simpel sii cuma kurang tau ketika beli btc atau jual btc ko ngada pilihan market order atau limit ordernya,negatif
tambahkan trending kripto yg mudah pakai tp dan sl,positif
Apl lg error gabisa tp klau hrga sampai trn apa ada konpensasi,negatif
proses registrasi cepat,positif
Thank you for your trust,negatif
bagusss verifikasi nya cepat terbaiklah,positif
simpel dan mudah di mengerti,positif
aplikasi sangat bagus sangat lengkap dari saham sampai crypto rekomended sekali buat pemula,negatif
pendaftaran gratis,positif
bagus tapi harganya kurang bagus,positif
god asset,negatif
kenapa tidak bisa pakai dana min,negatif
Alhamdulillah dana yang kepending udah di balikin thx Pluang,negatif
setelah menunggu berbulan bulan ada juga paxg di pluang sebelumnya saya beli di aplikasi sebelah dan akhirnya pindah lagi kesini karena aplikasi ini termasuk cukup keren menurut saya,negatif
simple dan nyaman,positif
minta tolong top up bisa lewat E wallet selain gopay contoh dana atau ovvo,negatif
sekarang kirim crypto ke luar cek susah minta ampun tolong di permudah jangan di persulit dulu mudah sekarang sulit,negatif
sangan friendly,positif
spread jual beli goldnya besar juga yah,negatif
aplikasi yang sangat baguse penjualan dan pembelian sangat cepat,negatif
ribet,negatif
tolong lah jangan di persulit saat mengubah nomor telepon masa mau ubah telepon aja gak bisa selalu tidak valid chat email pun gak ada balasan hubungi C S pun gak bisa tolong ini keamanan nya gimana,negatif
terlalu mahal potongan biaya,negatif
aplikasi paling terpercaya,negatif
mantap aplikasi nya,negatif
saya beri bintang dulu krna saya baru pemula dan akan saya tambah bintang nya kalau saya sudah bisa dan ini amanah,negatif
ok lah,positif
aplikasinya sudah bagus hanya kurang lengkap koinnya seperti koin crypto WLFI jadi mohon ditambah segera ya D,negatif
saya kecewa jika mentransfer ke aplikasi nya kena potong di dalam aplikasi nya seharusnya jika penarikan uang baru kena potong,negatif
mantap,positif
ga paham,positif
excited making money,negatif
admin nya tidak sigap menangani tentang top up yang bermasalah saya sampai kena tipu dari telegram,negatif
sangat bagus alikasi nabung,positif
Aset favoritku adalah Bitcoin BTC yang bakal to the moon sampai kapanpun menyala bitcoin,negatif
cara daftar yg mudah,negatif
menurut gw coin favorite Solana sih dan bonk tapi bonk sekarang minus,positif
tampilan mudah di pahami,positif
mantabbbb,negatif
good banget,positif
gimana y cara kita tahu saham coint yang kita jual itu rugi untung nya brp saya cari tidak ketemu,negatif
respon cs nya cepat dan bahkan sangat perduli terhadap pengguna nya untuk pemula juga bagus nih aplikasi simpel modal an udah bisa beli aset kripto bahkan saham Amerika Serikat juga ada di platform ini fee nya juga termasuk murah,negatif
saya kasih bintang tapi ajarin saya main saya pengin punya duit biar orang tua saya gak usah kerja keras lagi,negatif
the best lahh pokoknya,negatif
Menabung Emas di Aplikasi ini tidak bagus Saldo Emas habis di palak,negatif
sumpah ngeri biaya admin usd buat transfer usdt padahal cuma usd masuk cuma usd parah nih biaya admin atau biaya buat makan seminggu,negatif
mencoba berinventasi,negatif
mantot,negatif
bs dipercaya jual beli atau tarik ke rekening bs minimum semua lancar,negatif
Mudah dan membantu,negatif
excange terbaik,positif
bismillah sucses,positif
good investing apps,positif
terimakasih pluang sdh bantuin akunku balik love bangett apk ini,negatif
cukup baik dan jelas,positif
kasih saran dan kritik lasung di bales,negatif
sangat di percaya,positif
Menurutku Pluang enak banget dipakai kalau tujuannya buat nabung atau investasi santai Modal kecil aja udah bisa mulai jadi nggak harus nunggu punya duit banyak dulu Aplikasinya juga simpel nggak ribet jadi cocok banget buat orang yang baru belajar investasi Cuma ya kalau buat yang suka trading harian atau cari koin kripto banyak rasanya kurang lengkap DANN,negatif
Tampilan TradingView Chartnya diperbaiki dong Menurutku tampilan TradingView Chart yg sekarang sangat tidak berguna Seharusnya halaman depan dari TradingView Chart itu menampilkan Chart Candlestik yg sedang berjalan sehingga kita bisa melihat pergerakan Chartnya setiap detik Masa untuk melihat Chart berupa CandleStik yg sedang bergerak kita harus buka perbesar dulu Menurut saya gunanya Chart dengan timefrime M yg bergerak setiap saat supaya kita bisa memutuskan klik Jual Sel saat itu juga,negatif
ayolah masa udah autentikasi dua faktor FA masa besoknya udah nggak ada sih ini aplikasi gua dah lama ke buka kukira udah aman karna ya ada FA nya karena saya lupa sandinya ketika gua Buka apk nya walah malah kagak ada autentikasi nya terus juga gua udah hubungi lewat email untuk masalah itu ya kagak dijawab tapi untuk selebihnya bagus sih market nya banyak juga dan juga ada saham AS nya fee nya juga ya tergolong Mayan lah untuk kedepannya diperbaiki lagi soalnya uang saya ada disana,negatif
App nya udah mantap semua cuma yang kurang dari saya fitur earn flexing staking,negatif
bagus simpel mudah,positif
sanggat bagus,positif
saya sangat kecewa dengan update terbaru pluang saat ini saya tidak bisa menganalisa pasar,negatif
aplikasi yang mudah di mengerti buat pemula seperti saya bagus cocok banget nih buat invest fitur fitur nya juga lengkap RAFA,negatif
sangat bagus untuk berinvestasi,positif
good keren,positif
Tolong tampilannya dikembalikan seperti versi atau sebelumnya Diupdate malah tampilannya jadi ga nyaman saya sudah nyaman ditampilan sebelumnya Mau download apk versi di google chrome tapi takut nanti malah kehack ga aman Saya kasih bintang kalau tampilannya bisa kembali seperti semula saya rubah bintangnya jadi,negatif
kurang lengkap sih tidak semua koin bisa di mode pro hanya koin tertentu saja jadi tidak bisa menggunakan fitur buy limit dan sell limit,negatif
tambahin koin nya min masa koin jaman purba Mulu yang ada ga ada yang baru,negatif
sangat perfect,negatif
maaf mau nanya soal dana saya sebesar k itu saya depo ke saldo usd keuntungan bunga tersebut sudah di cantumkan senilat dalam jumlah itungan usd adalah nah klo dapet di bulan berikut nya adalah aturan kan usd ini malahan cuman itu itungan nya gimana ya saya bingung coba di jelaskan emang setiap apk punya kekurangan dan kelebihan tapi biar jelas aja biar kita engga kapok buat berinvestasi di apk tersebut dan satu lagi biaya admin dari bank ke apk harusyangrealtim,negatif
mudah tanpa ribet daftarnya,negatif
kenapa saya tidak bisa masuk ya ada tulisan ada masalah,negatif
paling lengkap,negatif
ok banget,positif
apknya bagus banget sangat membantu untuk treder pemula terutama,positif
sangat fleksibel untuk melakukan inves saran tolong ditambahkan fitur stop loss karena pluang belum ada fitur stop loss terimakasih,negatif
tambahin saham indonya min,negatif
mudah,positif
pelayanan sangat bagus gercep tim cs nya kalau ada kendala benar benar dipastikan masalahnya selesai Thanks banget pokoknya Pertahankan,negatif
mempermudah untuk investasi,negatif
kurang update kalo ada yg baru di market klo sudah naik di harga mahal baru masuk,negatif
sangat membantu bagi pemula yg baru belajar,negatif
top markotop,positif
hanya saja masih terkendala to up di bawah RB harus melalui virtual acunt dgn layanan bank permata selalu gagal,negatif
baru mencoba,negatif
update yang luar biasa di lakukan oleh peluang Skrang bisa melihat total marketcap yang ada,negatif
mantap,positif
belajar investasi kedepan lebih maju dan berkembang,positif
pelayanan bgus,positif
semoga lancar awal belajar,negatif
Aplikasi ini sudah sangat baik dan lengkap untuk kebutuhan pengguna Namun akan lebih bermanfaat jika tersedia widget khusus untuk memantau harga crypto favorit secara real time Dengan adanya widget pengguna tidak perlu terus menerus membuka aplikasi Fitur ini membuat pengalaman lebih praktis efisien dan modern sekaligus meningkatkan engagement karena pengguna akan lebih sering terhubung meski sedang menggunakan fitur lain di perangkat,positif
semakin update kenapa jadi nge lag bgt si tolong untuk koin yang belum bisa mode pro segera di adakan mode pro saya beli coin yang tidak ada mode pro nya spread nya besar bgt katanya di jamin detik gimana sih jadi rugi kalo gini tolong hadirkan kembali grafik jam tolong lah perbaiki lagi agak berat sekarang aplikasinya,negatif
Ada give away tapi hanya untuk pengguna Iphone dan pengguna Android di anak tirikan,negatif
semoga setelah update apk pluang bisa menjadi lebih baik dan lancar,positif
banyak saham yang bisa kita pilih,negatif
Aplikasinya bagus mudah di mengerti perfect,positif
order etf prosesnya kelamaan belum sukses,negatif
Fee nya makin mahal dapet untung segini kepotong segini beuh GK ngotak,positif
mudah dalan payment nya,positif
Sangat cocok untuk pemula,positif
terimakasih sudah diperbaiki candle stiknya,positif
terimakasih telah mengembalikan tampilan harga jual dan harga beli di setiap aset yang ingin dibeli itu sangat penting karena kami bisa menghitung selisih sebelum membeli,negatif
bolehlah,negatif
baru nyobain,negatif
Its great,positif
kenapa aplikasi saya tidak bisa di buka sudah dua hari,negatif
kenapa tiba tiba tidak bisa login,negatif
sangat membantu,negatif
sudah login,negatif
Bisa tidak mencarikan rekanan bisnis dari Bank yg lain selain Bank Permata Yang kinerja jaringan nya bagus dan lancar,negatif
tambahkan top up melalui aplikasi dana karena banyak orang yang sudah nyaman dengan wallet dana,positif
pelayanan ok,positif
saran tambahin metode pembayaran e wallet lain,negatif
q lupa pin biasanya log in pake fingerprint tpi in tba disuruu log in pake pin sma aplikasinya trus pas mau riset ulang pin kode otp dikirim ke sms sama email yg ke email g ada bingung g bisa buka aplikasinya udah email ke admin g dibls,negatif
aplikasi crypto terbaik,positif
baik,positif
Saat ini masih berjalan dengan baik hanya saran untuk Crypto jenis Volatil kalau bisa di buat kunci marking sell agar sama seperti Crypto yang lain nya,negatif
ini gimana ya dari kemarin saham as ga ada pergerakan mohon bantuannya,negatif
Mantap,negatif
super good,negatif
menurut ku kalau teliti dan sabar mudahan berhasil,positif
terima kasih,positif
pluang investasi baik,positif
kembangkan terus,negatif
mudah n system y g berubah berubah setelah d update,positif
kenapa pluang disuruh login mulu,negatif
Kenapa logout terus setiap menit sekali aku gk nyaman neh buat trading,positif
update terbaru malah ngebug gabisa buka analisis chart pakai indikator selalu coba lagi login ulang parah tau gitu ngak saya update tadi,negatif
bagus aman dan nyaman tolong hilangkan bug coba login kembali,positif
Joss,negatif
cepat pelayanannya,positif
min enakan tampilan ya versi candle nya lebih mudah utk menganalisa pleaseeee balikin candle model kaya gitu min Agus Terimakasih min sdh gercep utk mengembalikan candle nya utk membantu analisa,positif
bangus,negatif
Indonesia,negatif
good app,positif
Knpa akun sya gak bisa log in lagi masuk mimta ktp sma verifikasi wajah reportnya nik sdah terdaftar di ulaang lagi gitu mulu minta ktp nik terdaftar,negatif
abis update malah jdi bingung,negatif
RIBET BANGET MAU GANTI NOMOR DI HP ANDROID AJA GAGAL MULU SAMPE PAKE VERIFIKASI SELFIE KTP MAKSUDNYA APAAN,negatif
terimakasih banyak karena sudah di kembalikan fitur CANDLESTICK,negatif
top up nya cepat,positif
sudah lancar,negatif
nice daripada simpan di bank simpan di sinj aja,negatif
Semoga bermanfaat bagi kita semua,negatif
Nice,negatif
min uinya bagusin dong,negatif
Tolong tambah waktu transaksi untuk mengirim cripto tidak terkejar sama waktu cum detik,negatif
okey,negatif
bangke gak ada perak,negatif
balikin tmpilan awal ratakan aja tampilan spot sama elite kayak dlu,positif
,negatif
Pluang memang is the best,positif
enak dan simpel walaupun tampilan yang baru ada beberapa yg kurang lengkap,negatif
baguuuus,negatif
update yg bertambah buruk untuk menganalisa Sekarang tidak bisa melihat market cap vol h roi dll candle tidak bisa dirubah seperti biasanya tolong kembalikan yg lengkap y tim pluang,negatif
sangat bagus buat pemula sperti sya,positif
kembalikan ke tampilan sebelumnya kok sekarang jadi gak lengkap market cap hilang volume h tidak ada dll saran segera dikembalikan saya yakin banyak yg lebih suka dengan tampilan sebelumnya lebih mudah dipahami lengkap dan enak dilihat tampilan sekarang sangat buruk kalau terus seperti ini saya sangat optimis akan ada banyak orang yg berpindah exchange lokal ke sebelah termasuk saya,negatif
bagus,positif
biaya admin ketika top up di aplikasi pluang tidak sesuai dengan deskripsi tulisanya nominal di bawah tanpa biaya dari pihak bank pengirim juga gratis biaya transfer sampai di aplikasi kena potongan pajak,negatif
bagus rekomndasi,positif
saya login ngk bisa terus pdhal dana saya sudah masuk ke aplikasi alasan jaringan semua aplikasi yng saya pakai bisa di akses cuma ini knpa aplikasi nya ngk bisa di buka,negatif
cukup user friendly,positif
Cukup mudah dalam mendaftar,positif
Sidikjarinya sendiri koq disalahkan malah silahkan pakai pin ya jelas gak lupa donk mudah an merespon masuk dgn didik jari,negatif
tetap profesional kuatkan sistem keamanan nasabah semangat edukasi Finansial publik,positif
aplikasi bagus dan lancar,negatif
Luar biasa bagus,negatif
terimakasih sudah mengupdate versi yang lebih baik sekarang saya bisa mengetahui best ask dan best bid serta grafik lilin lagi pada mode lite,negatif
semoga berhuntung,negatif
lukira gampang jadi kaya di saham sama aja lu judi ga semua orang dapat cuan uji keberuntungan hahahaha,negatif
mau jual harganya tiba tiba turun mau belanja tiba tiba harganya naik walaupun itu persentase kecil jika transaksi besar maka itu akan kelihatan,negatif
banyak kali potongan buat admin,negatif
aplikasi terbaik,positif
sejauh ini oke sih mudah bagi pemula buat investasi,positif
WOIII GAK BISA TOP UP COKKK BALIKIN AJA KE SISTEM AWAL BIAR KLO TOP UP LANGSUNG KE APLIKASI BISA PAKAI DANA MBANK INI APAAN EWALLET CUMA GOPAY ERROR MULU GAK BISA NYAMBUNG TF JUGA GAK BISA UDAHLAH BALIKIN AJA SISTEM TOPUP KE AWAL,negatif
msih bagus,positif
punya saldo emas diam dipotong gram aplikasi spam emang,negatif
user friendly proses deposit maupun wd cepat tanpa adanya biaya admin ADIK,positif
Maaf saya sudah menutup akun karena tidak pernah saya gunakan kenapa masih dapat notifikasi pengurangan emas,negatif
sebel dulu bisa top up pake aplikasi dana sekarang gak bisa,negatif
bagus jugk,positif
ga bisa narik saldo pakai e wallet virtual account,positif
cendel nya yg koin baru gk bisa d liat tolong dong ky nya enakan yg ky awal deh untuk peluang lebih enak liat nya lebih lengkap,negatif
goodd,negatif
aplikasi trading paling serba susah top up cepat kalo mau wd gk bisa katanya minimal ini saldo lebih dari itu pun gk bisa mau kirim crypto pun tak bisa wkwk downgrade sekali ahh sory pluang aku uninstall byee,negatif
aplikasi yang sangat bagus,negatif
dr semalam kok saya ga bisa buka aplikasi ya udh potongan admin gede tapi kinerja aplikasi begini,negatif
sudah beberapa hari buka aplikasi sering nyangkut dlogo peluang dan candle stick telat muncul tolong diperbaiki,negatif
paling terpercaya puas dengan Pluang,positif
sudah daftar masuknya mudah mudah mudahan lancar,negatif
verifikasi cepat semoga lancar kedepanya,positif
Saat ini sangat bagus,positif
makin lama makin berat ni pulang susah banget lagi nya,negatif
top,positif
Mohon maaf untuk pembuat apk pluang Krn saya sangat kecewa Sudah saya download apk pluang kemudian saya mau memasukkan kode referral teman saya Kata nya di suruh verifikasi terlebih dahulu Lalu sesudah verifikasi slama jam Tempat memasukkan kode referral hilang Dan gk da sama sekali Jadi saya tunggu sampai hari kedepan kalo gk bisa Saya hapus apkapk pluang Trima kasih dari warga Indonesia,negatif
susah gak kaya duluk lihat cendel,negatif
gmn bs balik ke versi lama nggak yg baru bikin pusing kurang detail informasinya,negatif
aplikasi terbaik untuk spot dan future di Indonesia top of the top nya klau menurut sy mulai dr deposit smpai ke penarikan,positif
dari segi etf aset crypto nya masih kurang dan reward aset crypto yang bisa di staking masih kecil dan sedikit setelah update semakin buruk masak tampilan drowdon nya hilang cuma itu saja minus nya,negatif
Tolong Tambahkan Dana di E Wallet,negatif
simpel dan nikmat,positif
masih mencoba memahami,positif
untuk tampilan Kap pasar valuasi kok tidak ada ya sekarang,negatif
BURUK BANGET DEPO K UDH PAKAI KODE UNIK GAK DI PROSES GAK SESUAI DENGAN IKLAN BUKTI UDH DIBERIKAN TETAP DISURUH TUNGGU X JAM ALASAN UANG TIDAK MASUK YANG ADA BAGI TRADER PASTI KETINGGALAN START DAN ITU MERUGIKAN BANGET,negatif
kecewa sekali dengan tampilan baru di update malah downgrade tadinya bisa baca market cap pas di update jadi gak bisa versi lite jg gak bisa baca candle jadi susah buat analisa saran sebelum di lempar ke investor tampilannya di evaluasi dlu jangan maen asal ganti malah jadi pengurangan fitur udah pajak naik fitur downgrade kecewa bgt sama pluang kalo tidak segera di perbaiki atau di kembalikan saja seperti semula versi aplikasinya mending Inves di tempat lain di sp aja tim aplikasi ny,negatif
kenapa verifikasi KTP ga bisa di buka terus jadi ga bisa top up sama jual,positif
WITHDRAW LAMA BENER DISAAT GENTING NGGK BISA DIHARAPKAN MENDING PINDAH AJA DAH,negatif
Kenapa atas nama DIO MANURUNG SUSAH NAIK NYA HAH INI PENIPUAN KAH,negatif
terima kasih telah di perhatikan keluhan konsumen,negatif
semoga bermanfaat untuk semuanya,positif
agak ribet,negatif
tampilan yang sekarang sangat susah bagi pemula,negatif
Senang sekali pakai pluang Cukup user friendly Trading futures atau option jadi lebih mudah dan tentunya mendatangkan cuan Untuk beli saham ada prediksi dari ahli sehingga bisa ngasih saran mana yg harus dibeli,negatif
untuk masalah penarikan bisa di tambahkan penarikan ke rekening lain tdk jgn cuma rekening yang terdaftar dgn nomor KTP,negatif
tolong fee buat futures di kecilin dong jangan di samain kaya spot fee nya tolong ya ka,negatif
ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,negatif
kenapa aplikasinya susah dibuka yah loading terus saya jadi ga bisa transaksi dan cek portofolio saya,negatif
bagus apk ya,positif
penarikan dana butuh berapa hari ya kenapa masih proses terus ya,positif
masih newbie tp mudah dimengerti DEDE,positif
tampilannya makin mantap aja,positif
tampilan yg terbaru kek sampah jujur tolong ini mah balikn tampilan sebelum update ini ui ux nya yg bener napa kalau kerja,negatif
untuk withdraw nya lama banget hari kayanya apk yang lain aja engga paling jam doang tapi ini nunggu berhari,negatif
got,negatif
kk kenapa setiap mau log in ada notif tidak ada koneksi internet padahal kualitas internet saya baguas buka apk lain lancar,negatif
PEMBODOHAN DARI TIMOTY,negatif
dah bagus tolong liatkan lagi candle nya kok sekarang ga keliatan balikan tampilan nya kek dlu lagi dong,negatif
good apk,positif
tolong untuk fitur sell and buy nya di munculin lagi minitu cukup berpengaruh sekali tampilan yg terbaru ini kurang mmbantu mending yg sebelumnya,negatif
cocok buat pemula aplikasi jelas tampilan enak mantab,negatif
update harganya sangat lambat beda dengan apk sebelah lebih cepat mengikuti perdagangan dunia apk pluang hanya mengambil harga rata saja naik maupun turun juga rata padahal di apk sebelah naiknya sudah lumayan di pluang tetap segitu saja tolong update kedepanya update harga lebih cepat agar kami mudah jual dan beli di harga terbaik,negatif
sukses,positif
sangat mudah di pahami,positif
Aplikasinya bagus,positif
jaringan lancar tp tertulis tidak ada internet jadinya buka aplikasi nya loading mlulu,negatif
masih mencoba,negatif
bagus aplikasinya,positif
aplikasi exchange terbaik menurut saya pelayanan terbaik informasi lengkap dan detail recommend,positif
transaksi gampang,positif
jujur lebih suka versi lama daripada versi baru agak kesusahan mau klik sana sini lagi kalau mau detail kalau dulu cukup skroll sudah jelas,negatif
bagus sih cuman saran aja Tolong tambahin saham Indonesia dong,positif
fee mahal banget,positif
